AcSession,id
S22-7048 J.ome_resized_multichannel.tif,1
S22-849 D.ome_resized_multichannel.tif,1
S22-849 E.ome_resized_multichannel.tif,1
S22-849 F.ome_resized_multichannel.tif,1
S22-849 G.ome_resized_multichannel.tif,1
S22-849 H.ome_resized_multichannel.tif,1
S22-849 I.ome_resized_multichannel.tif,1
S22-849 J.ome_resized_multichannel.tif,1
S23-11390 D.ome_resized_multichannel.tif,1
S23-11390 E.ome_resized_multichannel.tif,1
S23-11390 F.ome_resized_multichannel.tif,1
S23-11390 G.ome_resized_multichannel.tif,1
S23-1287 A.ome_resized_multichannel.tif,1
S23-1287 B.ome_resized_multichannel.tif,1
S23-15870 A.ome_resized_multichannel.tif,1
S23-15870 B.ome_resized_multichannel.tif,1
S23-15870 C.ome_resized_multichannel.tif,1
S23-17903D.ome_resized_multichannel.tif,1
S23-17903E.ome_resized_multichannel.tif,1
S23-17903F.ome_resized_multichannel.tif,1
S23-17903G.ome_resized_multichannel.tif,1
S23-17903H.ome_resized_multichannel.tif,1
S23-17903I.ome_resized_multichannel.tif,1
S23-17903J.ome_resized_multichannel.tif,1
S23-22550D.ome_resized_multichannel.tif,1
S23-22550E.ome_resized_multichannel.tif,1
S23-3902D.ome_resized_multichannel.tif,1
S23-3902E.ome_resized_multichannel.tif,1
S23-3902F.ome_resized_multichannel.tif,1
S23-3902G.ome_resized_multichannel.tif,1
S23-3902H.ome_resized_multichannel.tif,1
S23-3902I.ome_resized_multichannel.tif,1
S23-6388D.ome_resized_multichannel.tif,1
S23-6388E.ome_resized_multichannel.tif,1
S23-6388F.ome_resized_multichannel.tif,1
S23-6388G.ome_resized_multichannel.tif,1
S23-6388H.ome_resized_multichannel.tif,1
S23-6388I.ome_resized_multichannel.tif,1
S23-6388J.ome_resized_multichannel.tif,1
S23-948D.ome_resized_multichannel.tif,1
S23-948E.ome_resized_multichannel.tif,1
S23-948F.ome_resized_multichannel.tif,1
S23-948G.ome_resized_multichannel.tif,1
S23-948H.ome_resized_multichannel.tif,1
S23-948I.ome_resized_multichannel.tif,1
S23-948J.ome_resized_multichannel.tif,1
S23-9995D.ome_resized_multichannel.tif,1
S23-9995E.ome_resized_multichannel.tif,1
S23-9995F.ome_resized_multichannel.tif,1
S23-9995G.ome_resized_multichannel.tif,1
S23-9995H.ome_resized_multichannel.tif,1
S23-9995I.ome_resized_multichannel.tif,1
S23-9995J.ome_resized_multichannel.tif,1
P2004-19216 D1.ome_resized_multichannel.tif,1
P2004-19216 D2.ome_resized_multichannel.tif,1
P2004-19216 E.ome_resized_multichannel.tif,1
P2004-19216 F1.ome_resized_multichannel.tif,1
P2004-19216 G1.ome_resized_multichannel.tif,1
P2004-19216 G2.ome_resized_multichannel.tif,1
P2004-19216 H.ome_resized_multichannel.tif,1
P2004-19216 I1.ome_resized_multichannel.tif,1
P2004-19216 I2.ome_resized_multichannel.tif,1
P2007-4150 B.ome_resized_multichannel.tif,1
S10-14269 A.ome_resized_multichannel.tif,1
S11-18196 A.ome_resized_multichannel.tif,1
S11-18196 B1.ome_resized_multichannel.tif,1
S11-18196 B2.ome_resized_multichannel.tif,1
S17-1198 A1.ome_resized_multichannel.tif,1
S17-1198 A2.ome_resized_multichannel.tif,1
S17-1198 H.ome_resized_multichannel.tif,1
S17-13738 A1.ome_resized_multichannel.tif,1
S17-13738 A2.ome_resized_multichannel.tif,1
S18-12012 A1.ome_resized_multichannel.tif,1
S18-12012 A2.ome_resized_multichannel.tif,1
S18-12012 A3.ome_resized_multichannel.tif,1
S18-12012 A4.ome_resized_multichannel.tif,1
S18-13105 A.ome_resized_multichannel.tif,1
S18-13105 B.ome_resized_multichannel.tif,1
S18-15555 A1 1.ome_resized_multichannel.tif,1
S18-15555 A1 2.ome_resized_multichannel.tif,1
S18-15555 A1 3.ome_resized_multichannel.tif,1
S18-15555 A2.ome_resized_multichannel.tif,1
S18-15555 B1 1.ome_resized_multichannel.tif,1
S18-15555 B1 2.ome_resized_multichannel.tif,1
S18-15555 C1 1.ome_resized_multichannel.tif,1
S18-15555 C1 2.ome_resized_multichannel.tif,1
S18-15555 D1 1.ome_resized_multichannel.tif,1
S18-15555 D1 2.ome_resized_multichannel.tif,1
S18-15555 D2.ome_resized_multichannel.tif,1
S18-15555 E1.ome_resized_multichannel.tif,1
S18-15555 E2.ome_resized_multichannel.tif,1
S18-15555 F1.ome_resized_multichannel.tif,1
S18-15555 F2.ome_resized_multichannel.tif,1
S18-15555 G.ome_resized_multichannel.tif,1
S18-15555 H1.ome_resized_multichannel.tif,1
S18-15555 H2.ome_resized_multichannel.tif,1
S18-17550 A1.ome_resized_multichannel.tif,1
S18-17550 A2.ome_resized_multichannel.tif,1
S18-17821 A.ome_resized_multichannel.tif,1
S18-17821 B.ome_resized_multichannel.tif,1
S18-2313 A.ome_resized_multichannel.tif,1
S18-2313 B.ome_resized_multichannel.tif,1
S18-2313 D.ome_resized_multichannel.tif,1
S18-2313 E.ome_resized_multichannel.tif,1
S18-2313 F.ome_resized_multichannel.tif,1
S18-25526 A.ome_resized_multichannel.tif,1
S18-25526 B.ome_resized_multichannel.tif,1
S18-28965 A.ome_resized_multichannel.tif,1
S18-28965 B1.ome_resized_multichannel.tif,1
S18-28965 B2.ome_resized_multichannel.tif,1
S18-28965 C1.ome_resized_multichannel.tif,1
S18-28965 C2.ome_resized_multichannel.tif,1
S18-28965 D1.ome_resized_multichannel.tif,1
S18-28965 D2.ome_resized_multichannel.tif,1
S18-28965 D3.ome_resized_multichannel.tif,1
S18-28965 E.ome_resized_multichannel.tif,1
S18-29054 E.ome_resized_multichannel.tif,1
S18-29054 F.ome_resized_multichannel.tif,1
S18-29054 G.ome_resized_multichannel.tif,1
S18-29054 H.ome_resized_multichannel.tif,1
S18-29054 I.ome_resized_multichannel.tif,1
S18-29054 J.ome_resized_multichannel.tif,1
S18-29054 K.ome_resized_multichannel.tif,1
S18-4207 A1.ome_resized_multichannel.tif,1
S18-4207 A2.ome_resized_multichannel.tif,1
